Model,Train R²,Val R²,Test R²,Train RMSE,Val RMSE,Test RMSE,Test MAE,Test MAPE,Training Time (s)
XGBoost,0.9998379103805314,0.9998520678820129,0.9997537525097393,0.4086815381769855,0.38785453254247687,0.4515299948504257,0.11554961994577381,0.300096919974733,13.957924365997314
Random Forest,0.9994014251551517,0.9986711897155063,0.999059618695331,0.7853561496104977,1.1624361939443866,0.8823739788881668,0.6518918214219649,2.2821655196502375,98.85326886177063
Gradient Boosting,0.9978113998243912,0.997251695447843,0.9965184588093151,1.5017257678562466,1.6717451120361133,1.6977997603542865,1.2751929435550735,4.178627142311795,396.4018635749817
